roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,recent_math_score,recent_writing_score,recent_science_score,gpa_letter,gpa
std-2239,male,group C,high school,1,0,55,54,48,C,59.75
std-2240,male,group B,some high school,1,0,47,51,48,C,52.25
std-2241,male,group D,bachelor's degree,1,1,45,100,62,B,71
std-2242,male,group C,bachelor's degree,1,0,67,65,45,B,66.5
std-2243,male,group C,some college,1,0,49,93,54,B,65.75
std-2244,male,group B,high school,0,0,55,69,45,C,59.75
std-2245,male,group B,some high school,1,0,79,65,47,C,59.75
std-2246,male,group D,some high school,0,1,52,57,35,C,61
std-2247,male,group C,some college,1,1,77,70,90,B,76.5
std-2248,male,group D,some high school,1,0,35,65,64,C,58.5
std-2249,male,group D,bachelor's degree,1,0,62,100,48,B,77.5
std-2250,male,group C,bachelor's degree,1,1,41,62,54,C,58.75
std-2251,male,group B,bachelor's degree,0,0,49,93,74,B,67.75
std-2252,male,group A,some high school,0,0,13,62,47,D,48.75
std-2253,male,group E,associate's degree,0,0,42,63,52,C,61.25
std-2254,male,group C,high school,0,0,100,45,90,B,77.5
std-2255,male,group E,some college,0,1,37,59,74,C,52.75
std-2256,male,group D,some college,0,0,27,63,50,C,59.75
std-2257,male,group C,bachelor's degree,0,0,21,95,89,B,64.5
std-2258,male,group A,some high school,0,0,100,74,52,C,61.5
std-2259,male,group D,some college,1,0,90,67,73,B,75
std-2260,male,group B,some high school,1,0,38,78,65,B,65.25
std-2261,male,group A,some college,0,1,96,65,58,B,77
std-2262,male,group B,bachelor's degree,0,1,97,65,41,B,75.75
std-2263,male,group B,bachelor's degree,0,0,46,76,71,B,69.25
std-2264,male,group C,some high school,1,1,63,67,66,B,67
std-2265,male,group B,some college,1,0,93,59,76,B,79.25
std-2266,male,group E,some college,1,0,49,85,69,B,70.5
std-2267,male,group D,high school,1,0,72,89,75,B,75
std-2268,male,group C,associate's degree,1,0,56,65,58,B,62.75
std-2269,male,group B,bachelor's degree,1,0,30,78,41,C,59.5
std-2270,male,group A,high school,1,1,49,55,39,D,43
std-2271,male,group C,associate's degree,1,1,48,79,87,B,72.5
std-2272,male,group C,associate's degree,1,0,36,72,56,C,56.75
std-2273,male,group D,associate's degree,1,0,52,52,60,C,62.25
std-2274,male,group B,some high school,0,0,34,36,49,D,46.25
std-2275,male,group B,master's degree,1,0,15,41,51,C,51.75
std-2276,male,group D,high school,0,1,87,71,54,B,75.75
std-2277,male,group A,bachelor's degree,1,0,34,47,48,D,44.75
std-2278,male,group C,high school,1,1,16,79,72,C,58.75
std-2279,male,group C,some college,1,1,61,43,48,C,61.5
std-2280,male,group D,high school,1,0,45,67,79,C,61.5
std-2281,male,group A,some high school,1,1,29,69,94,B,71.25
std-2282,male,group E,high school,1,0,84,68,73,B,66.75
std-2283,male,group D,associate's degree,0,1,34,73,67,C,57.5
std-2284,male,group C,some high school,1,1,21,63,36,D,44.75
std-2285,male,group D,some high school,1,0,36,61,100,B,74.25
std-2286,male,group E,some college,1,0,53,48,54,C,62
std-2287,male,group E,bachelor's degree,0,0,56,36,69,C,51
std-2288,male,group E,bachelor's degree,1,0,16,85,49,D,48.5
std-2289,male,group C,associate's degree,1,1,56,51,47,C,59.5
std-2290,male,group B,high school,1,0,41,93,48,C,57.25
std-2291,male,group B,master's degree,1,1,58,98,35,B,68.5
std-2292,male,group D,high school,1,0,16,61,45,D,48.5
std-2293,male,group C,some high school,1,1,79,56,54,B,66.5
std-2294,male,group A,bachelor's degree,0,0,70,69,51,B,65
std-2295,male,group B,some college,1,1,28,68,57,C,53.25
std-2296,male,group D,some college,1,1,85,54,34,B,66.25
std-2297,male,group E,associate's degree,0,1,83,92,100,A,93.75
std-2298,male,group D,some college,1,0,69,64,79,B,68.75
std-2299,male,group E,master's degree,1,0,57,30,72,C,59.5
std-2300,male,group C,bachelor's degree,1,0,16,51,79,D,48
std-2301,male,group B,some college,1,0,47,44,86,B,62.5
std-2302,male,group D,some college,1,0,25,10,100,C,58.75
std-2303,male,group D,bachelor's degree,1,0,41,57,62,B,63.5
std-2304,male,group E,some high school,0,1,55,74,69,B,74.5
std-2305,male,group C,associate's degree,0,1,42,53,42,C,57.25
std-2306,male,group E,some college,0,0,78,66,58,C,61.75
std-2307,male,group E,bachelor's degree,1,0,32,79,88,C,62
std-2308,male,group E,bachelor's degree,1,0,17,72,64,C,55.25
std-2309,male,group B,high school,0,0,39,43,61,D,46.25
std-2310,male,group D,high school,1,0,63,52,29,C,59
std-2311,male,group C,some college,0,0,6,67,69,C,57.25
std-2312,male,group D,associate's degree,0,1,46,61,9,D,45.25
std-2313,male,group E,associate's degree,1,1,14,49,56,D,39.5
std-2314,male,group D,bachelor's degree,1,0,74,82,80,B,69
std-2315,male,group C,master's degree,1,0,42,98,87,C,61
std-2316,male,group A,associate's degree,1,1,75,99,50,B,71.75
std-2317,male,group D,high school,1,0,36,77,61,C,55.25
std-2318,male,group C,high school,1,0,100,64,68,B,70
std-2319,male,group D,some high school,1,1,47,66,74,B,67
std-2320,male,group B,associate's degree,1,0,62,69,54,B,63.75
std-2321,male,group C,bachelor's degree,1,0,51,86,75,B,73
std-2322,male,group D,bachelor's degree,1,0,87,57,9,C,59.5
std-2323,male,group E,some college,1,0,95,79,54,B,79
std-2324,male,group B,some high school,1,1,66,54,92,B,78
std-2325,male,group D,some high school,0,0,7,48,81,C,52
std-2326,male,group C,some high school,0,1,100,33,35,C,61.5
std-2327,male,group D,some college,0,1,48,88,87,B,70.75
std-2328,male,group B,some college,1,1,28,96,61,B,70.75
std-2329,male,group E,high school,0,0,43,89,25,B,64.25
std-2330,male,group B,master's degree,1,1,77,89,72,A,83.5
std-2331,male,group D,some college,1,0,46,65,63,C,53.25
std-2332,male,group C,some college,1,0,44,78,97,B,70
std-2333,male,group E,bachelor's degree,1,0,19,66,54,D,46.5
std-2334,male,group B,master's degree,1,1,39,95,96,B,75.5
std-2335,male,group B,high school,1,1,47,61,45,C,54.75
std-2336,male,group E,high school,1,0,25,91,61,B,69.25
std-2337,male,group D,some college,0,0,35,71,51,D,47
std-2338,male,group A,some high school,1,0,32,100,73,B,68.5
std-2339,male,group B,some high school,0,1,64,48,59,B,63
std-2340,male,group E,some college,0,0,71,66,97,A,81.5
std-2341,male,group C,some high school,1,1,66,46,27,C,55
std-2342,male,group D,associate's degree,0,1,36,42,40,Fail,36.75
std-2343,male,group A,bachelor's degree,0,0,13,50,42,D,44.25
std-2344,male,group D,high school,1,1,58,93,65,B,73.25
std-2345,male,group E,some college,1,0,26,75,100,B,64.5
std-2346,male,group D,bachelor's degree,0,0,37,35,33,D,46.5
std-2347,male,group A,high school,1,1,73,70,70,B,72.25
std-2348,male,group B,high school,1,1,81,51,67,B,68
std-2349,male,group D,bachelor's degree,1,0,100,50,55,B,73.75
std-2350,male,group D,bachelor's degree,1,0,23,27,41,D,42
std-2351,male,group C,some high school,1,1,28,63,50,C,53.75
std-2352,male,group C,some high school,1,0,78,51,31,C,52.5
std-2353,male,group C,some college,0,0,19,37,63,C,54.75
std-2354,male,group D,some college,0,1,50,47,52,D,47.25
std-2355,male,group D,high school,0,1,31,68,30,D,44.5
std-2356,male,group D,some college,1,0,62,67,46,C,52.75
std-2357,male,group C,master's degree,0,1,25,55,29,Fail,37.25
std-2358,male,group E,associate's degree,1,0,67,67,68,B,67.5
std-2359,male,group B,high school,1,0,57,59,60,D,48.25
std-2360,male,group A,high school,1,1,75,65,47,B,67
std-2361,male,group D,high school,1,0,26,71,67,C,59.25
std-2362,male,group E,master's degree,1,1,71,61,84,B,74.25
std-2363,male,group E,some college,1,0,63,67,45,C,56.75
std-2364,male,group A,some college,1,0,51,86,87,B,79.75
std-2365,male,group C,high school,1,0,46,81,95,B,76.5
std-2366,male,group B,associate's degree,1,0,53,54,48,C,55.75
std-2367,male,group C,some college,1,0,41,79,45,C,61.5
std-2368,male,group E,high school,0,1,47,80,34,C,56.75
std-2369,male,group E,some college,1,0,32,65,31,C,52
std-2370,male,group B,bachelor's degree,1,0,39,47,44,C,50
std-2371,male,D,some high school,1,0,13,68,88,C,61
std-2372,male,group D,some college,1,0,48,100,77,A,81.25
std-2373,male,group C,master's degree,0,0,39,68,49,C,58.25
std-2374,male,group B,some high school,1,0,100,48,80,A,81.5
std-2375,male,group C,some college,0,0,49,81,35,C,62
std-2376,male,group E,high school,1,0,75,31,63,C,51
std-2377,male,group A,some high school,0,0,78,99,94,A,88.75
std-2378,male,group D,high school,1,1,55,66,100,A,80.25
std-2379,male,group D,some college,0,0,19,89,100,B,70.75
std-2380,male,group B,some college,1,1,83,68,28,B,63
std-2381,male,group C,associate's degree,0,0,31,81,31,C,60.75
std-2382,male,group B,bachelor's degree,1,1,13,82,29,D,43.25
std-2383,male,group D,some high school,1,1,35,67,46,C,56.75
std-2384,male,group A,bachelor's degree,0,0,32,82,90,B,76
std-2385,male,group D,bachelor's degree,1,0,29,61,52,C,50.5
std-2386,male,group C,some college,1,1,78,53,69,B,64.75
std-2387,male,group C,bachelor's degree,0,0,82,92,59,B,75.75
std-2388,male,group B,high school,1,1,84,71,72,B,74.5
std-2389,male,group C,some college,0,1,24,99,96,B,78
std-2390,male,group D,bachelor's degree,1,0,43,100,72,B,78.75
std-2391,male,group C,some college,0,0,51,80,82,B,68.75
std-2392,male,group C,associate's degree,1,1,30,58,29,D,44.75
std-2393,male,group B,some high school,1,1,49,49,12,D,42
std-2394,male,group D,associate's degree,0,0,54,82,52,B,68
std-2395,male,group B,some college,1,0,50,93,46,B,64.5
std-2396,male,group B,some high school,0,0,51,42,61,C,58.5
std-2397,male,group B,high school,0,0,26,71,56,C,54.75
std-2398,male,group D,some high school,1,0,30,100,61,B,68.75
std-2399,male,group D,associate's degree,0,0,50,73,78,B,69
std-2400,male,group C,some college,1,0,32,58,48,C,57.75
std-2401,male,group E,some high school,1,0,62,60,71,B,70
std-2402,male,group A,master's degree,0,0,35,56,98,B,68.75
std-2403,male,group C,associate's degree,0,1,26,85,76,B,70.25
std-2404,male,group E,some high school,1,0,4,50,48,Fail,35.75
std-2405,male,group B,some high school,0,1,16,74,59,C,55.75
std-2406,male,group B,some college,0,1,10,56,51,C,51.5
std-2407,male,group C,master's degree,0,1,68,64,59,B,65
std-2408,male,group B,bachelor's degree,0,0,77,35,71,B,66.5
std-2409,male,group B,master's degree,1,0,55,52,74,C,53
std-2410,male,group D,some college,0,0,36,59,31,D,45.5
std-2411,male,group C,associate's degree,1,0,31,70,46,C,56.25
std-2412,male,group B,high school,1,0,49,75,38,C,60.5
std-2413,male,group C,associate's degree,1,0,30,40,72,D,46
std-2414,male,group D,associate's degree,0,0,36,67,50,C,57.75
std-2415,male,group B,high school,1,1,14,80,69,B,65.75
std-2416,male,group B,some high school,1,1,65,89,77,A,80.75
std-2417,male,group E,some college,1,0,28,54,52,C,53
std-2418,male,group E,high school,1,1,64,51,47,C,53.25
std-2419,male,group E,some college,1,1,87,41,33,C,59
std-2420,male,group C,some high school,1,0,43,83,56,C,56.5
std-2421,male,group D,bachelor's degree,1,0,19,10,71,D,47.25
std-2422,male,group E,associate's degree,1,0,47,87,70,B,71.75
std-2423,male,group C,high school,0,0,47,60,49,C,53.25
std-2424,male,group B,bachelor's degree,0,0,61,47,78,C,57
std-2425,male,group D,some college,0,0,39,67,65,B,62.75
std-2426,male,group C,some high school,1,0,50,89,55,C,61.25
std-2427,male,group D,some high school,0,0,21,65,74,C,59.5
std-2428,male,group B,high school,1,1,74,50,61,C,61
std-2429,male,group C,associate's degree,1,0,8,59,66,C,58.25
std-2430,male,group E,bachelor's degree,0,0,52,85,55,B,65.75
std-2431,male,group C,associate's degree,1,0,41,76,75,B,68
std-2432,male,group C,some college,1,0,52,59,80,B,71.75
std-2433,male,group E,some high school,1,1,67,88,45,B,66.25
std-2434,male,group D,master's degree,0,0,74,79,100,A,84
std-2435,male,group D,high school,1,0,34,91,65,C,61.75
std-2436,male,group C,some high school,0,0,73,87,89,B,76.5
std-2437,male,group C,associate's degree,1,0,40,74,71,C,58
std-2438,male,group B,high school,1,1,70,95,64,B,74.75
std-2439,male,group C,some college,0,0,89,34,32,D,47
std-2440,male,group E,some high school,1,0,41,82,33,C,58.75
std-2441,male,group E,some college,1,0,64,64,64,B,67.5
std-2442,male,group D,bachelor's degree,1,0,15,51,72,C,51.75
std-2443,male,group A,high school,1,0,37,60,57,C,58.25
std-2444,male,group D,associate's degree,1,1,39,66,64,C,55.5
std-2445,male,group E,some college,1,1,75,37,89,B,70
std-2446,male,group E,bachelor's degree,1,0,49,32,25,Fail,34.25
std-2447,male,group C,associate's degree,0,0,42,53,53,D,48
std-2448,male,group D,high school,1,0,38,70,94,B,73.75
std-2449,male,group B,some college,0,0,33,97,51,B,67
std-2450,male,group C,high school,0,0,76,97,96,A,87
std-2451,male,group B,bachelor's degree,0,1,41,71,100,B,69
std-2452,male,group C,high school,1,0,84,50,47,B,66.25
std-2453,male,group C,associate's degree,1,0,92,46,50,B,64.5
std-2454,male,group B,bachelor's degree,1,0,62,53,91,B,74
std-2455,male,group C,bachelor's degree,0,0,43,36,77,C,57.5
std-2456,male,group B,high school,0,1,69,86,46,B,65.5
std-2457,male,group C,high school,1,1,18,57,65,D,49.75
std-2458,male,group B,some college,1,0,27,54,36,D,44.25
std-2459,male,group E,associate's degree,1,1,100,91,86,A,84.75
std-2460,male,group B,high school,0,0,76,76,92,B,79.25
std-2461,male,group D,associate's degree,1,0,13,57,74,C,51.75
std-2462,male,group B,some college,0,1,62,80,92,A,81.5
std-2463,male,group E,some high school,0,1,73,56,45,C,58.75
std-2464,male,group A,bachelor's degree,1,0,31,33,45,D,47.25
std-2465,male,group B,some college,1,0,78,67,73,B,76.75
std-2466,male,group C,master's degree,0,0,9,84,52,D,47
std-2467,male,group C,high school,1,0,75,68,74,B,76.25
std-2468,male,group D,bachelor's degree,0,1,22,48,59,D,46.75
std-2469,male,group A,some high school,1,0,14,53,54,C,54.25
std-2470,male,group C,associate's degree,0,0,25,33,46,D,41.5
std-2471,male,group C,some high school,0,0,82,100,81,A,85
std-2472,male,group D,some college,0,0,88,49,71,B,70
std-2473,male,group C,some high school,0,0,78,74,68,B,79.25
std-2474,male,group B,high school,1,0,81,49,58,C,62.25
std-2475,male,group D,bachelor's degree,1,0,47,76,64,C,60.75
std-2476,male,group D,some college,1,0,87,62,69,B,70
std-2477,male,group D,some college,1,1,41,73,59,C,61.75
std-2478,male,group B,associate's degree,1,0,71,97,77,A,81.25
std-2479,male,group E,associate's degree,0,0,66,82,74,B,78.75
std-2480,male,group D,some college,1,1,33,76,61,B,64.75
std-2481,male,group C,associate's degree,1,0,28,66,83,C,55.5
std-2482,male,group C,bachelor's degree,1,0,48,59,64,B,65
std-2483,male,group E,associate's degree,0,0,72,72,89,B,72.5
std-2484,male,group E,bachelor's degree,1,1,57,45,63,C,52.25
std-2485,male,group D,some college,0,0,0,36,47,Fail,36.5
std-2486,male,group D,associate's degree,0,0,75,65,46,B,71.5
std-2487,male,group C,associate's degree,0,1,41,41,82,C,60.75
std-2488,male,group C,some high school,0,1,55,75,62,C,56.5
std-2489,male,group C,some college,1,1,76,54,48,C,56.75
std-2490,male,group A,some college,1,1,89,79,100,A,86.25
std-2491,male,group D,associate's degree,1,1,52,100,56,B,72.25
std-2492,male,group D,associate's degree,0,1,77,40,100,B,72.25
std-2493,male,group A,some college,1,1,64,58,97,B,64
std-2494,male,group D,some high school,0,1,72,100,86,A,89.5
std-2495,male,group B,bachelor's degree,1,0,34,67,78,B,67.5
std-2496,male,group D,some college,1,0,46,54,85,B,67
std-2497,male,group B,some high school,0,1,31,78,56,C,59.5
std-2498,male,group D,bachelor's degree,0,0,69,72,88,A,82.25
std-2499,male,group E,high school,1,0,43,40,90,C,58
std-2500,male,group B,bachelor's degree,1,1,62,62,100,A,80.25
std-2501,male,group B,master's degree,1,1,50,57,57,C,54.75
std-2502,male,group D,master's degree,1,0,82,74,71,B,66.5
std-2503,male,group A,high school,1,1,36,40,29,D,41
std-2504,male,group A,high school,1,0,57,89,95,B,76
std-2505,male,group B,some college,0,0,17,66,77,C,53.5
std-2506,male,group C,bachelor's degree,1,1,84,68,70,B,75
std-2507,male,group D,high school,1,1,100,54,64,B,63.5
std-2508,male,group D,some college,1,1,89,71,100,A,85.75
std-2509,male,group B,associate's degree,0,1,28,100,98,B,71.25
std-2510,male,group C,master's degree,1,0,85,41,75,C,61
std-2511,male,group D,some college,1,0,53,77,70,B,68.5
std-2512,male,group A,some high school,0,1,24,62,56,C,51.25
std-2513,male,group D,associate's degree,0,0,73,85,51,B,77.25
std-2514,male,group D,associate's degree,0,0,71,76,46,B,71.25
std-2515,male,group C,associate's degree,1,0,16,62,67,C,60.75
std-2516,male,group B,bachelor's degree,0,1,35,66,47,C,50.5
std-2517,male,group C,some college,1,1,67,78,64,B,70
std-2518,male,group D,high school,1,0,32,66,59,C,59.5
std-2519,male,group E,some college,0,0,11,82,76,B,65
std-2520,male,group E,some high school,1,0,75,73,57,B,72
std-2521,male,group C,some college,0,0,24,48,89,C,56.25
std-2522,male,group D,some high school,1,1,58,56,61,C,59.5
std-2523,male,group B,some high school,0,0,80,57,65,B,64.5
std-2524,male,group D,associate's degree,0,0,43,60,65,C,53.75
std-2525,male,group E,some college,1,0,50,56,91,B,67
std-2526,male,group C,some college,1,1,89,86,33,B,71.25
std-2527,male,group E,associate's degree,1,1,38,53,59,C,51.25
std-2528,male,group C,some college,1,0,56,88,58,B,75.5
std-2529,male,group C,associate's degree,1,0,28,74,82,C,60.5
std-2530,male,group B,associate's degree,0,1,70,84,68,B,75.5
std-2531,male,group B,master's degree,1,1,59,71,37,B,66.75
std-2532,male,group B,bachelor's degree,0,0,70,80,31,C,58
std-2533,male,group C,bachelor's degree,1,1,67,43,78,B,66.5
std-2534,male,group D,associate's degree,1,1,40,62,56,C,57.5
std-2535,male,group C,master's degree,1,1,33,95,30,C,55.25
std-2536,male,group C,high school,0,1,17,69,62,C,61
std-2537,male,group C,some high school,0,0,71,29,99,B,68.75
std-2538,male,group D,some high school,1,1,81,44,91,B,70.5
std-2539,male,group C,associate's degree,0,0,14,71,77,C,60
std-2540,male,group B,some college,1,1,43,45,50,D,48.75
std-2541,male,group D,some high school,1,1,64,80,55,B,68.25
std-2542,male,group C,some college,1,0,56,60,100,B,69
std-2543,male,group D,some high school,0,0,17,58,69,C,55
std-2544,male,group C,master's degree,1,0,26,68,100,B,68.25
std-2545,male,group C,bachelor's degree,1,0,43,62,55,C,52
std-2546,male,group B,some high school,1,0,49,87,87,B,78.75
std-2547,male,group C,high school,1,0,63,80,15,C,60
std-2548,male,group C,associate's degree,0,0,26,92,56,B,66
std-2549,male,group C,associate's degree,1,0,49,75,70,B,71.25
std-2550,male,group B,associate's degree,0,1,64,32,50,C,54.75
std-2551,male,group C,some high school,0,0,58,73,71,B,66.25
std-2552,male,group A,some college,1,1,93,28,56,D,48.5
std-2553,male,group D,high school,1,0,19,98,84,B,69.75
std-2554,male,group D,some high school,1,1,71,82,51,B,71
std-2555,male,group B,some college,0,1,49,47,50,D,44.75
std-2556,male,group B,associate's degree,1,0,10,61,30,D,45.5
std-2557,male,group D,associate's degree,0,0,50,10,36,D,47.75
std-2558,male,group D,high school,0,1,40,59,72,C,59.75
std-2559,male,group E,some college,0,1,15,71,47,C,52
std-2560,male,group B,bachelor's degree,0,1,12,54,15,Fail,33
std-2561,male,group A,some college,1,1,37,61,93,B,68
std-2562,male,group E,some college,1,1,100,86,65,B,77.75
std-2563,male,group C,some college,0,0,67,73,36,C,54.25
std-2564,male,group E,some high school,0,1,48,82,36,C,55
std-2565,male,group D,some high school,1,0,70,64,55,C,62
std-2566,male,group C,high school,0,0,41,76,37,C,52.5
std-2567,male,group C,associate's degree,1,1,48,40,97,B,66.5
std-2568,male,group C,bachelor's degree,1,1,36,59,96,B,63.5
std-2569,male,group D,bachelor's degree,0,0,100,52,55,B,73
std-2570,male,group C,bachelor's degree,0,0,38,91,59,B,68.5
std-2571,male,group B,master's degree,1,1,42,49,72,C,53.75
std-2572,male,group D,associate's degree,1,0,81,70,45,B,63.75
std-2573,male,group B,master's degree,1,0,70,67,79,B,76.25
std-2574,male,group E,some high school,0,0,45,57,87,B,67.5
std-2575,male,group D,high school,0,0,58,68,46,C,59
std-2576,male,group D,high school,0,1,40,65,34,C,50.75
std-2577,male,group B,high school,0,0,33,47,36,D,40.75
std-2578,male,group C,some high school,1,0,76,73,92,B,76
std-2579,male,group B,bachelor's degree,1,0,55,54,89,B,72.5
std-2580,male,group C,associate's degree,0,0,28,78,95,B,66.75
std-2581,male,group C,some high school,0,0,69,61,97,B,77.75
std-2582,male,group D,some college,1,0,21,67,25,D,38.75
std-2583,male,group A,some college,0,0,84,59,65,B,68
std-2584,male,group D,some college,0,1,70,98,60,A,80.5
std-2585,male,group B,associate's degree,1,1,54,84,100,B,77
std-2586,male,group D,high school,0,0,69,99,52,B,70.75
std-2587,male,group B,some high school,1,1,49,77,67,B,71.75
std-2588,male,group C,some high school,0,0,81,79,86,B,78
std-2589,male,group B,bachelor's degree,1,0,66,81,82,B,74.25
std-2590,male,group C,associate's degree,0,1,30,56,75,C,54.75
std-2591,male,group D,associate's degree,1,0,46,68,97,B,72.5
std-2592,male,group D,some college,0,0,50,37,68,D,47.25
std-2593,male,group B,some college,1,1,66,97,100,A,87.75
std-2594,male,group C,high school,1,0,13,50,71,D,46
std-2595,male,group B,some college,1,1,58,66,72,C,57.5
std-2596,male,group C,associate's degree,1,0,42,40,45,D,43
std-2597,male,group C,bachelor's degree,1,0,33,39,44,C,51.75
std-2598,male,group C,associate's degree,0,1,99,44,60,B,69.5
std-2599,male,group D,bachelor's degree,1,1,49,56,81,B,69
std-2600,male,group A,some college,0,0,79,46,48,B,63.5
std-2601,male,group D,some high school,0,0,61,61,41,C,55.25
std-2602,male,group D,some college,0,1,76,35,75,B,70.75
std-2603,male,group E,some high school,1,1,73,80,61,B,75
std-2604,male,group C,master's degree,1,0,0,48,90,C,51
std-2605,male,group E,associate's degree,1,1,28,100,54,C,60.5
std-2606,male,group B,some high school,1,1,47,52,51,C,61.25
std-2607,male,group D,high school,1,0,61,72,85,B,76.75
std-2608,male,group B,associate's degree,1,0,59,45,62,C,52.5
std-2609,male,group A,master's degree,1,1,62,74,68,C,60.75
std-2610,male,group C,some college,1,0,46,43,70,C,61
std-2611,male,group C,high school,1,1,28,56,59,C,54.5
std-2612,male,group B,high school,0,0,20,95,55,C,57
std-2613,male,group A,some college,0,1,39,82,39,B,65
std-2614,male,group D,some college,1,0,71,91,12,C,60
std-2615,male,group C,some high school,1,0,12,79,59,C,58.75
std-2616,male,group D,bachelor's degree,1,0,54,72,53,B,65.5
std-2617,male,group C,some high school,1,0,18,34,100,C,54
std-2618,male,group C,some high school,0,0,73,84,78,A,80.25
std-2619,male,group C,some high school,1,0,27,65,96,B,64.5
std-2620,male,group D,high school,0,1,33,75,37,C,53.25
std-2621,male,group E,master's degree,0,0,70,32,91,B,67.5
std-2622,male,group B,high school,0,1,15,81,56,C,51
std-2623,male,group C,some high school,0,1,58,52,40,C,51.5
std-2624,male,group D,bachelor's degree,1,0,34,55,88,B,64.25
std-2625,male,group A,high school,1,0,30,97,43,D,46.75
std-2626,male,group D,associate's degree,1,0,68,74,87,A,80.75
std-2627,male,group C,high school,0,1,74,72,76,B,67
std-2628,male,group C,bachelor's degree,0,0,25,72,72,C,52.25
std-2629,male,group B,bachelor's degree,0,0,37,80,70,B,62.5
std-2630,male,group B,high school,1,0,97,88,81,A,85
std-2631,male,group C,some college,1,1,31,47,70,C,59
std-2632,male,group D,high school,0,1,88,38,22,C,59
std-2633,male,group C,master's degree,0,0,10,58,91,C,57.75
std-2634,male,group D,associate's degree,1,1,20,62,44,C,50.25
std-2635,male,group D,high school,0,0,54,53,65,B,63.75
std-2636,male,group C,high school,1,1,68,100,90,A,89.5
std-2637,male,group C,associate's degree,1,0,58,80,71,B,66.5
std-2638,male,group D,some college,1,0,23,85,31,C,57.25
std-2639,male,group D,some college,1,1,65,78,65,B,69.25
std-2640,male,group D,some college,1,1,51,100,44,B,67.75
std-2641,male,group E,high school,0,0,25,48,80,C,62.25
std-2642,male,group E,high school,1,0,49,77,89,B,68.25
std-2643,male,group E,some high school,0,0,70,69,44,B,65
std-2644,male,group D,some college,1,0,53,60,82,B,72
std-2645,male,group D,some college,0,0,10,39,62,D,37.5
std-2646,male,group E,high school,0,0,74,70,86,B,71.75
std-2647,male,group D,some college,0,1,82,93,41,B,76.25
std-2648,male,group D,master's degree,1,0,73,34,100,B,67
std-2649,male,group D,bachelor's degree,0,1,40,61,52,C,59.25
std-2650,male,group C,bachelor's degree,1,0,100,80,52,B,72.5
std-2651,male,group B,some college,0,1,72,59,81,B,65.5
std-2652,male,group C,bachelor's degree,1,0,49,34,76,C,58.75
std-2653,male,group B,bachelor's degree,1,0,83,91,40,B,69
std-2654,male,group E,bachelor's degree,0,1,67,68,48,C,62
std-2655,male,group C,high school,0,0,49,83,70,B,74.5
std-2656,male,group D,some high school,1,0,38,53,51,D,43
std-2657,male,group E,associate's degree,0,0,35,89,17,C,51.25
std-2658,male,group A,high school,0,0,37,55,69,C,55.75
std-2659,male,group D,some college,0,0,10,51,52,D,47
std-2660,male,group D,high school,1,1,49,58,57,C,54.25
std-2661,male,group C,high school,1,1,41,73,38,C,60.75
std-2662,male,group D,bachelor's degree,1,1,42,72,63,C,57.5
std-2663,male,group D,associate's degree,1,1,61,96,82,B,76.5
std-2664,male,group C,some high school,1,0,47,54,26,C,52.25
std-2665,male,group D,bachelor's degree,1,1,63,100,74,B,74.75
std-2666,male,group D,associate's degree,0,0,32,69,97,B,69.75
std-2667,male,group D,high school,1,0,81,100,85,A,84.25
std-2668,male,group B,some college,0,1,62,98,68,B,74.5
std-2669,male,group D,some high school,1,1,46,55,89,C,60.75
std-2670,male,group C,associate's degree,1,1,61,36,27,C,51
std-2671,male,group C,some high school,1,1,45,52,36,C,58.25
std-2672,male,group D,high school,0,1,26,53,43,D,47.5
std-2673,male,group D,associate's degree,1,0,69,56,47,B,64.5
std-2674,male,group D,master's degree,0,0,67,36,44,D,45.5
std-2675,male,group E,high school,1,1,85,82,91,A,83.75
std-2676,male,group B,some high school,1,1,70,49,76,B,68.25
std-2677,male,group C,high school,0,1,73,82,83,B,75.75
std-2678,male,group D,some college,1,0,19,88,36,C,55.25
std-2679,male,group E,associate's degree,1,1,50,62,38,C,56
std-2680,male,group E,high school,1,0,23,84,70,B,69.25
std-2681,male,group C,high school,0,0,77,73,55,B,70
std-2682,male,group C,high school,1,0,55,73,82,B,72.75
std-2683,male,group C,high school,0,1,37,36,42,D,38.75
std-2684,male,group B,some college,1,0,32,49,56,C,53.5
std-2685,male,group D,some college,1,0,55,78,89,B,75.5
std-2686,male,group B,bachelor's degree,1,0,67,82,65,C,57.75
std-2687,male,group C,high school,1,1,38,51,78,C,51
std-2688,male,group D,master's degree,0,1,70,78,32,B,64
std-2689,male,group D,associate's degree,1,0,23,64,32,D,45.25
std-2690,male,group C,some high school,0,0,53,71,73,B,73
std-2691,male,group D,some college,1,0,28,60,62,C,51.25
std-2692,male,group E,associate's degree,0,0,22,55,77,C,53.25
std-2693,male,group E,high school,0,0,52,78,49,C,59
std-2694,male,group E,high school,1,1,28,51,67,C,55.5
std-2695,male,group D,high school,1,0,76,67,64,B,64.25
std-2696,male,group D,high school,1,1,69,100,58,B,76.5
std-2697,male,group A,some college,1,0,43,31,63,C,59.25
std-2698,male,group D,high school,1,0,58,66,30,C,53.25
std-2699,male,group D,some high school,0,1,64,70,54,B,65.75
std-2700,male,group C,associate's degree,1,0,80,67,54,C,61.75
